id,PV output,PeriodStart,hours
207,1351.447222,05-11-2018,15
208,173.8138889,05-11-2018,16
209,0,05-11-2018,17
214,0,05-11-2018,22
211,0,05-11-2018,19
212,0,05-11-2018,20
213,0,05-11-2018,21
204,2051.025,05-11-2018,12
210,0,05-11-2018,18
215,0,05-11-2018,23
203,1932.105556,05-11-2018,11
201,673.1277778,05-11-2018,9
192,0,05-11-2018,0
193,0,05-11-2018,1
194,0,05-11-2018,2
195,0,05-11-2018,3
202,1402.013889,05-11-2018,10
197,0,05-11-2018,5
198,0,05-11-2018,6
199,0,05-11-2018,7
200,3.030555556,05-11-2018,8
196,0,05-11-2018,4
230,2349.658333,06-11-2018,14
239,0,06-11-2018,23
238,0,06-11-2018,22
237,0,06-11-2018,21
236,0,06-11-2018,20
235,0,06-11-2018,19
234,0,06-11-2018,18
233,0,06-11-2018,17
232,0,06-11-2018,16
231,1192.252778,06-11-2018,15
229,2338.333333,06-11-2018,13
228,3120.633333,06-11-2018,12
216,0,06-11-2018,0
227,2567.508333,06-11-2018,11
217,0,06-11-2018,1
218,0,06-11-2018,2
220,0,06-11-2018,4
221,0,06-11-2018,5
219,0,06-11-2018,3
223,0,06-11-2018,7
224,0,06-11-2018,8
225,641.7666667,06-11-2018,9
226,1772.977778,06-11-2018,10
222,0,06-11-2018,6
257,0,07-11-2018,17
254,1670.352778,07-11-2018,14
255,440.5277778,07-11-2018,15
256,0,07-11-2018,16
258,0,07-11-2018,18
253,2557.380556,07-11-2018,13
260,0,07-11-2018,20
261,0,07-11-2018,21
262,0,07-11-2018,22
263,0,07-11-2018,23
259,0,07-11-2018,19
252,3231.191667,07-11-2018,12
240,0,07-11-2018,0
250,1011.630556,07-11-2018,10
249,301.7388889,07-11-2018,9
248,0,07-11-2018,8
247,0,07-11-2018,7
246,0,07-11-2018,6
245,0,07-11-2018,5
244,0,07-11-2018,4
243,0,07-11-2018,3
242,0,07-11-2018,2
241,0,07-11-2018,1
251,2155.966667,07-11-2018,11
278,1261.358333,08-11-2018,14
279,525.6194444,08-11-2018,15
280,0,08-11-2018,16
281,0,08-11-2018,17
282,0,08-11-2018,18
287,0,08-11-2018,23
284,0,08-11-2018,20
285,0,08-11-2018,21
286,0,08-11-2018,22
277,2470.011111,08-11-2018,13
283,0,08-11-2018,19
276,2631.744444,08-11-2018,12
269,0,08-11-2018,5
274,1757.433333,08-11-2018,10
265,0,08-11-2018,1
266,0,08-11-2018,2
267,0,08-11-2018,3
268,0,08-11-2018,4
264,0,08-11-2018,0
270,0,08-11-2018,6
271,0,08-11-2018,7
272,393.1861111,08-11-2018,8
273,1744.394444,08-11-2018,9
275,3180.211111,08-11-2018,11
301,1033.794444,09-11-2018,13
310,0,09-11-2018,22
309,0,09-11-2018,21
308,0,09-11-2018,20
307,0,09-11-2018,19
306,0,09-11-2018,18
305,0,09-11-2018,17
304,0,09-11-2018,16
303,0,09-11-2018,15
302,506.8583333,09-11-2018,14
300,1249.305556,09-11-2018,12
311,0,09-11-2018,23
298,584.6027778,09-11-2018,10
288,0,09-11-2018,0
289,0,09-11-2018,1
290,0,09-11-2018,2
291,0,09-11-2018,3
292,0,09-11-2018,4
299,995.9777778,09-11-2018,11
294,0,09-11-2018,6
295,0,09-11-2018,7
296,0,09-11-2018,8
297,55.54166667,09-11-2018,9
293,0,09-11-2018,5
325,697.7251462,10-11-2018,13
326,433.9121212,10-11-2018,14
327,16.34722222,10-11-2018,15
328,0,10-11-2018,16
329,0,10-11-2018,17
331,0,10-11-2018,19
332,0,10-11-2018,20
333,0,10-11-2018,21
334,0,10-11-2018,22
324,911.9194444,10-11-2018,12
330,0,10-11-2018,18
335,0,10-11-2018,23
323,888.0277778,10-11-2018,11
321,122.9333333,10-11-2018,9
320,79.9,10-11-2018,8
319,0,10-11-2018,7
318,0,10-11-2018,6
317,0,10-11-2018,5
316,0,10-11-2018,4
315,0,10-11-2018,3
314,0,10-11-2018,2
313,0,10-11-2018,1
312,0,10-11-2018,0
322,652.0027855,10-11-2018,10
351,1050.522222,11-11-2018,15
352,33.73333333,11-11-2018,16
353,0,11-11-2018,17
354,0,11-11-2018,18
350,1490.347222,11-11-2018,14
356,0,11-11-2018,20
357,0,11-11-2018,21
358,0,11-11-2018,22
359,0,11-11-2018,23
355,0,11-11-2018,19
349,1378.497222,11-11-2018,13
348,1691.666667,11-11-2018,12
336,0,11-11-2018,0
346,1033.827778,11-11-2018,10
345,593.3527778,11-11-2018,9
344,102.3305556,11-11-2018,8
343,0,11-11-2018,7
342,0,11-11-2018,6
341,0,11-11-2018,5
340,0,11-11-2018,4
339,0,11-11-2018,3
338,0,11-11-2018,2
337,0,11-11-2018,1
347,938.3944444,11-11-2018,11
374,2092.075,12-11-2018,14
375,1049.416667,12-11-2018,15
376,0,12-11-2018,16
377,0,12-11-2018,17
383,0,12-11-2018,23
379,0,12-11-2018,19
381,0,12-11-2018,21
382,0,12-11-2018,22
373,3382.227778,12-11-2018,13
378,0,12-11-2018,18
372,2717.388889,12-11-2018,12
380,0,12-11-2018,20
370,480.3027778,12-11-2018,10
371,1132.638889,12-11-2018,11
361,0,12-11-2018,1
362,0,12-11-2018,2
363,0,12-11-2018,3
